scene,Center_x,Center_y,patch,patch_cal,patch_rgb_vv,patch_rgb_vh,category,Head_x,Head_y,Tail_x,Tail_y,UpperLeft_x,UpperLeft_y,LowerRight_x,LowerRight_y,Manual_Length,Center_longitude,Center_latitude,North_Direction,Chip_Direction,Incidence,Elevation,Slant_Range_Time,MMSI,Nav_Status,Rot,Sog,AIS_Longitude,AIS_Latitude,Projected_Latitude,Projected_Longitude,Cog,True_Head,AIS_Length,AIS_Width,Draught,Name,Ship_Type,Length_overall,Breadth_extreme,Elaborated_type,Gross_tonnage,Deadweight
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,1673,6973,Cargo_x1673_y6973.tif,Cargo_x1673_y6973.tif,Cargo_x1673_y6973_vv.tif,Cargo_x1673_y6973_vh.tif,Cargo,1667,6961,1679,6982,1715,7015,1631,6931,245,1.191583e+02,3.910183e+01,4.006046e+01,-2.974488e+01,31.795192,28.337695,5398856.449625,413338000,1,0,1,119.157700,39.101200,39.101188,119.157697,1620.00,45.00,190,32,111,YIN NENG,70,190.000000,32.260000,Bulk Carrier,32460,53478
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,1601,7784,Cargo_x1601_y7784.tif,Cargo_x1601_y7784.tif,Cargo_x1601_y7784_vv.tif,Cargo_x1601_y7784_vh.tif,Cargo,1596,7778,1610,7794,1633,7816,1569,7752,214,1.191484e+02,3.902767e+01,5.141238e+01,-4.118593e+01,31.747454,28.296253,5396313.665238,413376390,1,0,0,119.147499,39.027000,39.027000,119.147499,2755.00,51.00,200,32,70,DA TANG 8 HAO,70,200.000000,32.000000,Bulk Carrier,28000,45000
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,2373,8250,Cargo_x2373_y8250.tif,Cargo_x2373_y8250.tif,Cargo_x2373_y8250_vv.tif,Cargo_x2373_y8250_vh.tif,Cargo,2365,8244,2382,8257,2407,8284,2339,8216,216,1.190505e+02,3.899868e+01,6.279940e+01,-5.259464e+01,32.280763,28.760010,5423614.843743,413956000,1,0,0,119.049698,38.998199,38.998199,119.049675,3360.00,54.00,199,32,125,YIN LIAN,70,199.990000,32.000000,Bulk Carrier,33511,57000
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,2206,8389,Cargo_x2206_y8389.tif,Cargo_x2206_y8389.tif,Cargo_x2206_y8389_vv.tif,Cargo_x2206_y8389_vh.tif,Cargo,2201,8384,2216,8399,2236,8419,2176,8359,214,1.190664e+02,3.898338e+01,5.519706e+01,-45,32.165990,28.660226,5417710.162917,413866000,1,0,0,119.065498,38.982899,38.982899,119.065498,3104.00,58.00,188,31,113,BEI JIANG,70,188.000000,31.000000,Bulk Carrier,26040,45212
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,10503,10891,Tanker_x10503_y10891.tif,Tanker_x10503_y10891.tif,Tanker_x10503_y10891_vv.tif,Tanker_x10503_y10891_vh.tif,Tanker,10495,10888,10511,10896,10535,10923,10471,10859,179,1.180714e+02,3.889326e+01,7.315184e+01,-6.343495e+01,37.584360,33.331659,5734739.102330,257681000,1,0,0,118.070702,38.893002,38.893002,118.070702,3291.00,80.00,180,32,113,CHAMPION TRUST,84,180.570000,32.030000,Oil/Chemical Tanker,26218,46166
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,10661,11170,Cargo_x10661_y11170.tif,Cargo_x10661_y11170.tif,Cargo_x10661_y11170_vv.tif,Cargo_x10661_y11170_vh.tif,Cargo,10652,11166,10671,11176,10699,11208,10623,11132,215,1.180476e+02,3.887066e+01,7.194260e+01,-6.224146e+01,37.682152,33.415168,5741218.033750,624014000,1,0,1,118.046898,38.870300,38.870358,118.046905,3091.00,79.00,179,27,102,GIBE,70,179.140000,27.260000,General Cargo,20471,27358
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,11137,10797,Tanker_x11137_y10797.tif,Tanker_x11137_y10797.tif,Tanker_x11137_y10797_vv.tif,Tanker_x11137_y10797_vh.tif,Tanker,11123,10795,11136,10798,11163,10823,11111,10771,133,1.180014e+02,3.891172e+01,8.689523e+01,-7.700538e+01,37.973724,33.664017,5760704.448917,413441490,1,0,0,118.001801,38.911499,38.911499,118.001801,1899.00,90.00,123,18,550,HAI XIN YOU 606,80,123.000000,19.000000,Tanker,NaN,NaN
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,9747,10282,Cargo_x9747_y10282.tif,Cargo_x9747_y10282.tif,Cargo_x9747_y10282_vv.tif,Cargo_x9747_y10282_vh.tif,Cargo,9739,10278,9758,10286,9785,10320,9709,10244,206,1.181699e+02,3.893605e+01,7.700085e+01,-6.716635e+01,37.112676,32.928129,5704151.584689,414768000,1,0,0,118.168999,38.936001,38.936001,118.168999,139.00,79.00,189,32,64,YIN HE              ,70,189.000000,32.000000,Bulk Carrier,29644,44952
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,11134,10143,Cargo_x11134_y10143.tif,Cargo_x11134_y10143.tif,Cargo_x11134_y10143_vv.tif,Cargo_x11134_y10143_vh.tif,Cargo,11127,10142,11143,10146,11166,10175,11102,10111,164,1.180153e+02,3.897050e+01,8.583611e+01,-7.596376e+01,37.970250,33.660978,5760563.427991,412356180,1,0,0,118.014603,38.970402,38.970402,118.014603,3344.00,81.00,160,24,56,JINTAIZHOU,70,159.000000,24.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,11505,10248,Cargo_x11505_y10248.tif,Cargo_x11505_y10248.tif,Cargo_x11505_y10248_vv.tif,Cargo_x11505_y10248_vh.tif,Cargo,11497,10244,11510,10251,11531,10274,11479,10222,148,1.179710e+02,3.896690e+01,7.138479e+01,-6.169924e+01,38.198499,33.855829,5775761.500261,413202830,1,0,0,117.971901,38.967201,38.967201,117.971901,740.00,65.00,140,24,60,AN JI 9,70,140.500000,25.000000,Vehicles Carrier,19349,5126
