渔船ID,type
18330,围网
18331,围网
18332,围网
18333,围网
18334,围网
18335,围网
18336,围网
18337,围网
18338,围网
18339,围网
18340,围网
18341,围网
18342,围网
18343,围网
18344,围网
18345,围网
18346,围网
18347,围网
18348,围网
18349,围网
18350,围网
18351,围网
18352,围网
18353,围网
18354,围网
18355,围网
18356,围网
18357,围网
18358,围网
18359,围网
18360,围网
18361,围网
18362,围网
18363,围网
18364,围网
18365,围网
18366,围网
18367,围网
18368,围网
18369,围网
18370,围网
18371,围网
18372,围网
18373,围网
18374,围网
18375,围网
18376,围网
18377,围网
18378,围网
18379,围网
18380,围网
18381,围网
18382,围网
18383,围网
18384,围网
18385,围网
18386,围网
18387,围网
18388,围网
18389,围网
18390,围网
18391,围网
18392,围网
18393,围网
18394,围网
18395,围网
18396,围网
18397,围网
18398,围网
18399,围网
18400,围网
18401,围网
18402,围网
18403,围网
18404,围网
18405,围网
18406,围网
18407,围网
18408,围网
18409,围网
18410,围网
18411,围网
18412,围网
18413,围网
18414,围网
18415,围网
18416,围网
18417,围网
18418,围网
18419,围网
18420,围网
18421,围网
18422,围网
18423,围网
18424,围网
18425,围网
18426,围网
18427,围网
18428,围网
18429,围网
18430,围网
18431,围网
18432,围网
18433,围网
18434,围网
18435,围网
18436,围网
18437,围网
18438,围网
18439,围网
18440,围网
18441,围网
18442,围网
18443,围网
18444,围网
18445,围网
18446,围网
18447,围网
18448,围网
18449,围网
18450,围网
18451,围网
18452,围网
18453,围网
18454,围网
18455,围网
18456,围网
18457,围网
18458,围网
18459,围网
18460,围网
18461,围网
18462,围网
18463,围网
18464,围网
18465,围网
18466,围网
18467,围网
18468,围网
18469,围网
18470,围网
18471,围网
18472,围网
18473,围网
18474,围网
18475,围网
18476,围网
18477,围网
18478,围网
18479,围网
18480,围网
18481,围网
18482,围网
18483,围网
18484,围网
18485,围网
18486,围网
18487,围网
18488,围网
18489,围网
18490,围网
18491,围网
18492,围网
18493,围网
18494,围网
18495,围网
18496,围网
18497,围网
18498,围网
18499,围网
18500,围网
18501,围网
18502,围网
18503,围网
18504,围网
18505,围网
18506,围网
18507,围网
18508,围网
18509,围网
18510,围网
18511,围网
18512,围网
18513,围网
18514,围网
18515,围网
18516,围网
18517,围网
18518,围网
18519,围网
18520,围网
18521,围网
18522,围网
18523,围网
18524,围网
18525,围网
18526,围网
18527,围网
18528,围网
18529,围网
18530,围网
18531,围网
18532,围网
18533,围网
18534,围网
18535,围网
18536,围网
18537,围网
18538,围网
18539,围网
18540,围网
18541,围网
18542,围网
18543,围网
18544,围网
18545,围网
18546,围网
18547,围网
18548,围网
18549,围网
18550,围网
18551,围网
18552,围网
18553,围网
18554,围网
18555,围网
18556,围网
18557,围网
18558,围网
18559,围网
18560,围网
18561,围网
18562,围网
18563,围网
18564,围网
18565,围网
18566,围网
18567,围网
18568,围网
18569,围网
18570,围网
18571,围网
18572,围网
18573,围网
18574,围网
18575,围网
18576,围网
18577,围网
18578,围网
18579,围网
18580,围网
18581,围网
18582,围网
18583,围网
18584,围网
18585,围网
18586,围网
18587,围网
18588,围网
18589,围网
18590,围网
18591,围网
18592,围网
18593,围网
18594,围网
18595,围网
18596,围网
18597,围网
18598,围网
18599,围网
18600,围网
18601,围网
18602,围网
18603,围网
18604,围网
18605,围网
18606,围网
18607,围网
18608,围网
18609,围网
18610,围网
18611,围网
18612,围网
18613,围网
