渔船ID,lat,lon,速度,方向,time,type
411,30.292222222222232,123.5437777777778,1.2,333.0,2019-08-12 04:06:27,围网
411,30.29369444444445,123.54330555555555,1.1,326.0,2019-08-12 04:15:31,围网
411,30.295805555555557,123.54283333333332,1.1,8.0,2019-08-12 04:25:31,围网
411,30.298361111111113,123.54219444444445,1.9,2.0,2019-08-12 04:35:31,围网
411,30.30225,123.54172222222223,1.1,353.0,2019-08-12 04:45:31,围网
411,30.305555555555557,123.5407777777778,0.3,0.0,2019-08-12 04:55:31,围网
411,30.308611111111112,123.54027777777776,1.2,355.0,2019-08-12 05:05:31,围网
411,30.311972222222234,123.53991666666668,2.3,347.0,2019-08-12 05:15:31,围网
411,30.315444444444445,123.53933333333332,1.2,349.0,2019-08-12 05:25:31,围网
411,30.318972222222207,123.53894444444445,2.1,11.0,2019-08-12 05:35:31,围网
411,30.322388888888888,123.53825,0.4,0.0,2019-08-12 05:45:31,围网
411,30.32352777777778,123.53788888888887,1.6,0.0,2019-08-12 05:55:31,围网
411,30.32352777777778,123.53788888888887,0.2,0.0,2019-08-12 06:05:31,围网
411,30.3235,123.5379722222222,0.0,0.0,2019-08-12 06:15:31,围网
411,30.323555555555558,123.538,0.6,0.0,2019-08-12 06:25:31,围网
411,30.32344444444445,123.53802777777777,0.6,154.0,2019-08-12 06:35:31,围网
411,30.3235,123.53805555555556,0.3,0.0,2019-08-12 06:46:03,围网
411,30.3235,123.538,1.4,41.0,2019-08-12 06:55:30,围网
411,30.323472222222208,123.53819444444444,0.7,75.0,2019-08-12 07:05:30,围网
411,30.32344444444445,123.53813888888894,0.3,0.0,2019-08-12 07:15:30,围网
411,30.32344444444445,123.53822222222223,1.1,349.0,2019-08-12 07:25:30,围网
411,30.3235,123.53827777777781,0.4,0.0,2019-08-12 07:35:30,围网
411,30.323472222222208,123.53836111111107,2.0,7.0,2019-08-12 07:45:30,围网
411,30.323472222222208,123.53838888888887,1.3,284.0,2019-08-12 07:55:30,围网
411,30.32341666666667,123.53836111111107,1.2,324.0,2019-08-12 08:05:30,围网
411,30.323472222222208,123.53838888888887,1.7,351.0,2019-08-12 08:15:30,围网
411,30.32344444444445,123.5384722222222,0.2,0.0,2019-08-12 08:25:30,围网
411,30.32338888888889,123.53863888888887,0.1,0.0,2019-08-12 08:35:31,围网
411,30.323305555555557,123.53866666666669,0.5,0.0,2019-08-12 08:45:32,围网
411,30.32336111111111,123.53875,0.5,64.0,2019-08-12 08:56:03,围网
411,30.323305555555557,123.53877777777778,0.3,290.0,2019-08-12 09:05:30,围网
411,30.323305555555557,123.53886111111107,0.1,0.0,2019-08-12 09:15:30,围网
411,30.323277777777786,123.53886111111107,0.3,0.0,2019-08-12 09:25:30,围网
411,30.323166666666665,123.5390277777778,1.1,305.0,2019-08-12 09:35:30,围网
411,30.323138888888888,123.53905555555555,1.0,61.0,2019-08-12 09:45:30,围网
411,30.32308333333333,123.53916666666666,0.2,99.0,2019-08-12 09:55:30,围网
411,30.322916666666664,123.53933333333332,0.2,0.0,2019-08-12 10:05:30,围网
411,30.322777777777766,123.53938888888888,0.5,59.0,2019-08-12 10:15:30,围网
411,30.322722222222207,123.53947222222222,0.2,0.0,2019-08-12 10:25:30,围网
411,30.32261111111111,123.5395277777778,0.9,292.0,2019-08-12 10:35:30,围网
411,30.32247222222223,123.53947222222222,0.8,0.0,2019-08-12 10:45:34,围网
411,30.322555555555553,123.53958333333333,1.1,150.0,2019-08-12 10:56:07,围网
411,30.322555555555553,123.53961111111113,0.6,14.0,2019-08-12 11:05:30,围网
411,30.322138888888887,123.5397222222222,0.6,289.0,2019-08-12 11:15:30,围网
411,30.321972222222207,123.53969444444445,0.6,284.0,2019-08-12 11:25:30,围网
411,30.32177777777777,123.5397222222222,0.3,0.0,2019-08-12 11:35:30,围网
411,30.321666666666665,123.53975,0.3,0.0,2019-08-12 11:45:30,围网
411,30.321361111111113,123.53963888888887,1.1,14.0,2019-08-12 11:55:30,围网
411,30.320888888888888,123.53927777777777,0.7,274.0,2019-08-12 12:06:03,围网
411,30.320777777777767,123.53925,0.0,0.0,2019-08-12 12:15:29,围网
411,30.320638888888887,123.53911111111113,0.9,0.0,2019-08-12 12:25:29,围网
411,30.320472222222232,123.53888888888888,0.6,0.0,2019-08-12 12:35:29,围网
411,30.32033333333333,123.53838888888887,0.9,194.0,2019-08-12 12:45:29,围网
411,30.32022222222223,123.53822222222223,1.0,16.0,2019-08-12 12:55:29,围网
411,30.32019444444445,123.538,1.2,27.0,2019-08-12 13:05:29,围网
411,30.32019444444445,123.53783333333334,0.2,0.0,2019-08-12 13:15:29,围网
411,30.32019444444445,123.53761111111106,1.2,203.0,2019-08-12 13:25:29,围网
411,30.32019444444445,123.53755555555556,0.1,0.0,2019-08-12 13:35:29,围网
411,30.32025,123.53747222222222,0.5,50.0,2019-08-12 13:45:29,围网
411,30.32025,123.53741666666667,0.9,227.0,2019-08-12 13:55:29,围网
411,30.32036111111111,123.53694444444444,1.0,111.0,2019-08-12 14:05:29,围网
411,30.32038888888889,123.53691666666666,0.6,0.0,2019-08-12 14:15:29,围网
411,30.320472222222232,123.53680555555556,0.3,0.0,2019-08-12 14:25:29,围网
411,30.32050000000001,123.53688888888887,0.1,0.0,2019-08-12 14:35:29,围网
411,30.32044444444445,123.53677777777777,0.7,0.0,2019-08-12 14:45:29,围网
411,30.32052777777778,123.53666666666666,1.3,106.0,2019-08-12 14:55:29,围网
411,30.32080555555555,123.53630555555556,0.3,0.0,2019-08-12 15:05:29,围网
411,30.320888888888888,123.53638888888894,0.6,0.0,2019-08-12 15:15:29,围网
411,30.321,123.53630555555556,1.0,0.0,2019-08-12 15:25:29,围网
411,30.32111111111111,123.53616666666667,0.6,0.0,2019-08-12 15:35:29,围网
411,30.321305555555558,123.5359722222222,0.3,0.0,2019-08-12 15:45:56,围网
411,30.32133333333333,123.5360277777778,1.0,204.0,2019-08-12 15:55:29,围网
411,30.3215,123.53594444444445,0.6,127.0,2019-08-12 16:06:09,围网
411,30.32161111111111,123.5359722222222,1.0,287.0,2019-08-12 16:15:29,围网
411,30.32177777777777,123.53594444444445,0.9,336.0,2019-08-12 16:25:29,围网
411,30.322,123.53591666666668,0.3,29.0,2019-08-12 16:35:29,围网
411,30.322194444444445,123.53591666666668,0.3,0.0,2019-08-12 16:45:29,围网
411,30.321972222222207,123.53808333333332,1.2,0.0,2019-08-12 16:55:28,围网
411,30.334611111111112,123.54122222222222,5.1,15.0,2019-08-12 17:05:36,围网
411,30.346611111111113,123.54419444444444,1.5,0.0,2019-08-12 17:15:35,围网
411,30.347444444444445,123.54488888888888,3.4,0.0,2019-08-12 17:25:29,围网
411,30.35577777777778,123.55113888888887,6.9,124.0,2019-08-12 17:35:28,围网
411,30.35541666666667,123.54986111111107,8.9,291.0,2019-08-12 17:45:29,围网
411,30.365305555555558,123.54027777777776,3.1,15.0,2019-08-12 17:55:30,围网
411,30.358833333333337,123.5512222222222,7.1,155.0,2019-08-12 18:05:28,围网
411,30.353972222222207,123.5569722222222,0.7,0.0,2019-08-12 18:15:28,围网
411,30.35544444444445,123.55341666666666,0.8,0.0,2019-08-12 18:25:28,围网
411,30.357555555555557,123.54958333333332,1.5,307.0,2019-08-12 18:35:27,围网
411,30.35916666666667,123.55161111111107,7.4,109.0,2019-08-12 18:45:27,围网
411,30.349972222222235,123.57152777777776,6.8,119.0,2019-08-12 18:55:28,围网
411,30.34086111111111,123.59166666666668,7.2,127.0,2019-08-12 19:05:28,围网
411,30.33808333333333,123.59011111111107,0.3,0.0,2019-08-12 19:15:28,围网
411,30.34105555555556,123.58686111111106,2.0,13.0,2019-08-12 19:25:57,围网
411,30.343916666666665,123.58397222222222,1.5,329.0,2019-08-12 19:35:27,围网
411,30.34708333333333,123.5809722222222,2.3,357.0,2019-08-12 19:45:27,围网
411,30.35025000000001,123.578,1.5,308.0,2019-08-12 19:55:27,围网
411,30.35352777777778,123.57536111111106,1.9,316.0,2019-08-12 20:05:27,围网
411,30.356583333333337,123.57297222222222,1.1,333.0,2019-08-12 20:15:27,围网
411,30.360055555555558,123.57038888888887,2.0,343.0,2019-08-12 20:25:27,围网
411,30.36363888888889,123.56805555555556,0.9,344.0,2019-08-12 20:35:27,围网
411,30.36719444444445,123.566,2.1,318.0,2019-08-12 20:45:27,围网
411,30.371111111111112,123.56375,1.2,323.0,2019-08-12 20:55:27,围网
411,30.37475,123.56175,1.8,333.0,2019-08-12 21:05:27,围网
411,30.37661111111111,123.56025,5.8,327.0,2019-08-12 21:15:28,围网
411,30.381972222222235,123.55827777777776,4.7,61.0,2019-08-12 21:25:27,围网
411,30.383527777777786,123.55783333333332,2.0,43.0,2019-08-12 21:35:27,围网
411,30.38594444444445,123.55727777777778,0.3,0.0,2019-08-12 21:45:27,围网
411,30.38816666666667,123.55752777777776,0.8,0.0,2019-08-12 21:55:27,围网
411,30.39027777777777,123.55786111111112,1.4,0.0,2019-08-12 22:05:55,围网
411,30.39283333333333,123.55827777777776,1.6,58.0,2019-08-12 22:15:27,围网
411,30.39547222222223,123.55830555555555,4.1,259.0,2019-08-12 22:25:26,围网
411,30.400055555555554,123.5637222222222,6.4,88.0,2019-08-12 22:35:26,围网
411,30.40175,123.59105555555556,6.8,73.0,2019-08-12 22:45:26,围网
